relative_path,rows,bytes,sha256,generated_by,source_url
analysis_weights.csv,953,171076,1909850833cf71ebe88daaac086d6e49b4d6f6f7f79ed509588e623af1e86441,scripts/analysis/run_placebo_2023_24.py,
placebo_coefficients.csv,7,3135,a91782a791f7cb5c8d0fa1d30ab904f7d761af57d389cfe24006bae71a249294,scripts/analysis/run_placebo_2023_24.py,
qa.csv,10,449,e9ab1509872cc24d6481b7a9844583fdedba8b5a0d5f9ec07a66ffe7cb4bc7f4,scripts/analysis/run_placebo_2023_24.py,
sample_flow.csv,5,273,5931bc0154e3704ee996b7713aaa9aae4ace06afdfc50db7afe7427129dd3137,scripts/analysis/run_placebo_2023_24.py,
weighting_diagnostics.csv,39,11651,83902673e882666e05a3549afe1f4c10d4895944c486ec5b144a298e11c5c33d,scripts/analysis/run_placebo_2023_24.py,
config/placebo_2023_24.yml,,1600,b19108c47a80f92328ea5b924f6ff61fc3ebf805d98399733a5b2606ab6a3dc4,input_or_config,
data/raw/transfermarkt/dcaribou_2023_24/games.csv.gz,,4707840,14882f09be887c716990b77a0e9e7a2a39e63f30b9c592560d8987450969c67b,input_or_config,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/games.csv.gz
data/raw/transfermarkt/dcaribou_2023_24/appearances.csv.gz,,42857706,7adfea2165872305054c387486e50834fea8227900aa773ea5f8c170bf0a6be2,input_or_config,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/appearances.csv.gz
data/raw/transfermarkt/dcaribou_2023_24/game_lineups.csv.gz,,118531960,6b2fc04ae307390c4d2044659b91c0da314c6a20eefd4a2f13e1468ac06c874b,input_or_config,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/game_lineups.csv.gz
data/raw/transfermarkt/dcaribou_2023_24/players.csv.gz,,4125713,921f986c8e6ddae235783440ee01725547120473e7e92b2c232780c5c521766a,input_or_config,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/players.csv.gz
data/raw/transfermarkt/dcaribou_2023_24/player_valuations.csv.gz,,5724453,9f0257021012f564b35d45aec9b99813d09b2edf3633505d21e94d1002f46ba7,input_or_config,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/player_valuations.csv.gz
data/raw/transfermarkt/dcaribou_2023_24/transfers.csv.gz,,1059102,21f6ded48a8e964699b3b443fe968afc2fd49fa7290224fed36007a026d10a25,input_or_config,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
